epoch,step,train_loss,val_loss
0,49,2.620293617248535,
0,99,2.477381467819214,
0,149,2.432807207107544,
0,199,2.3989458084106445,
0,199,,2.3940553665161133
0,249,2.3251471519470215,
0,299,2.1413848400115967,
0,349,1.9905526638031006,
0,399,1.8657245635986328,
0,399,,1.9023048877716064
0,449,1.779815673828125,
0,499,1.668698787689209,
